zip,city,state,system_name,pwsid,population,water_source,total_violations,health_violations,unresolved_violations,lead_level_mg_l,copper_level_mg_l,radon_zone,home_safety_score,home_safety_grade,latitude,longitude,contaminant_count,health_contaminant_names,ccr_contaminant_count,ccr_violation_count,enforcement_action_count,enforcement_health_violations,has_active_issues,boil_water_advisories
52761,Muscatine,IA,Muscatine Power & Water,IA7048001,25516,GW,9,1,4,0.003,1.9,1,54,D,41.4304,-91.0509,1,Contaminant 0700,0,0,10,1,true,0
52762,,,,,,,0,0,0,,,,,,,,0,,,,0,0,false,0
52765,New Liberty,IA,Durant Water Supply,IA1636090,1871,GW,0,0,0,,,1,55,C,41.7132,-90.8599,0,,,,0,0,false,0
52766,Nichols,IA,WEST LIBERTY WATER UTILITY,IA7073010,3858,GW,0,0,0,,,1,45,D,41.4766,-91.2931,0,,,,0,0,false,0
52767,Pleasant Valley,IA,Iowa-american Wtr Company-davenport,IA8222001,147720,SW,0,0,0,0.001,,1,55,C,41.5746,-90.4213,0,,0,0,0,0,false,0
52768,Princeton,IA,Princeton Water Supply,IA8273061,923,GW,2,1,0,0.0052,,1,64,C,41.6858,-90.3706,1,Lead,,,7,1,true,0
52769,Stockton,IA,Stockton Muni Water Supply,IA7063096,176,GW,0,0,0,0.001,,1,66,C,41.5914,-90.8588,0,,,,0,0,false,0
52771,Teeds Grove,IA,ANDOVER WATER SUPPLY,IA2307001,109,GW,0,0,0,,,1,40,D,41.9991,-90.2187,0,,,,0,0,false,0
52772,Tipton,IA,Tipton Water Supply,IA1689022,3149,GW,0,0,0,0.001,2,1,70,B,41.7563,-91.1362,0,,,,0,0,false,0
52773,Walcott,IA,Walcott Waterworks,IA8285058,1551,GW,1,0,0,0.001,,1,70,B,41.6453,-90.7256,0,,,,4,0,true,0
52774,Welton,IA,Welton Water Supply,IA2391001,121,GW,0,0,0,0.002,,1,70,B,41.9081,-90.5954,0,,,,0,0,false,0
52776,West Liberty,IA,West Liberty Water Utility,IA7073010,3858,GW,0,0,0,0.001,,1,65,C,41.5701,-91.2668,0,,,,4,0,true,0
52777,Wheatland,IA,Wheatland City Water Supply,IA2394017,775,GW,1,0,1,0.0032,,1,68,C,41.8259,-90.8402,0,,,,1,0,true,0
52778,Wilton,IA,Wilton Water Supply,IA7078026,2924,GW,0,0,0,0.006,,1,68,C,41.5858,-91.01,0,,,,0,0,false,0
52801,Davenport,IA,Iowa-american Wtr Company-davenport,IA8222001,147720,SW,10,0,4,0.001,,1,49,D,41.5208,-90.5745,0,,0,0,0,0,false,0
52802,Davenport,IA,Iowa-american Wtr Company-davenport,IA8222001,147720,SW,10,0,4,0.001,,1,44,D,41.5164,-90.6141,0,,0,0,0,0,false,0
52803,Davenport,IA,Iowa-american Wtr Company-davenport,IA8222001,147720,SW,10,0,4,0.001,,1,44,D,41.5385,-90.5613,0,,0,0,0,0,false,0
52804,Davenport,IA,Iowa-american Wtr Company-davenport,IA8222001,147720,SW,10,0,4,0.001,,1,54,D,41.5386,-90.6115,0,,0,0,0,0,false,0
52805,Davenport,IA,Iowa-american Wtr Company-davenport,IA8222001,147720,SW,10,0,4,0.001,,1,59,C,41.613,-90.6063,0,,0,0,0,0,false,0
52806,Davenport,IA,Iowa-american Wtr Company-davenport,IA8222001,147720,SW,10,0,4,0.001,,1,49,D,41.5733,-90.6038,0,,0,0,0,0,false,0
52807,Davenport,IA,Iowa-american Wtr Company-davenport,IA8222001,147720,SW,10,0,4,0.001,,1,49,D,41.5618,-90.5403,0,,0,0,0,0,false,0
52808,Davenport,IA,Iowa-american Wtr Company-davenport,IA8222001,147720,SW,10,0,4,0.001,,1,59,C,41.613,-90.6063,0,,0,0,0,0,false,0
52809,Davenport,IA,Iowa-american Wtr Company-davenport,IA8222001,147720,SW,10,0,4,0.001,,1,59,C,41.613,-90.6063,0,,0,0,0,0,false,0
52832,,,,,,,0,0,0,,,,,,,,0,,,,0,0,false,0
53001,Adell,WI,Adell Waterworks,WI4600435,510,GW,1,1,0,0.0021,,2,82,B,43.6151,-88.0254,1,Chlorine residual,,,2,1,false,0
53002,Allenton,WI,Allenton Sanitary District,WI2670104,860,GW,0,0,0,0.001,,1,70,B,43.4681,-88.3539,0,,,,0,0,false,0
53003,Ashippun,WI,AUTUMN RIDGE WATER SYSTEM LLC,WI1281138,575,GW,0,0,0,,,1,53,D,43.2119,-88.5162,0,,,,0,0,false,0
53004,Belgium,WI,Belgium Waterworks,WI2460107,2493,GW,2,1,1,0.0013,,2,82,B,43.4995,-87.8509,1,Stage 2 DBP Rule,,,1,1,false,0
53005,Brookfield,WI,Brookfield Water Utility,WI2680253,29070,GW,7,1,3,0.0015,,1,64,C,43.0622,-88.098,1,Stage 2 DBP Rule,24,2,10,3,true,0
53006,Brownsville,WI,Lomira Waterworks,WI1140151,2701,GW,3,1,1,0.00049,,1,65,C,43.6028,-88.523,1,Stage 2 DBP Rule,,,2,1,false,0
53007,Butler,WI,Butler Waterworks,WI2680191,2181,SW,3,0,1,0.0003,,1,67,C,43.1054,-88.071,0,,,,2,0,false,0
53008,Brookfield,WI,Brookfield Water Utility,WI2680253,29070,GW,7,1,3,0.0015,,1,65,C,43.0606,-88.1065,1,Stage 2 DBP Rule,24,2,10,3,true,0
53010,Campbellsport,WI,Campbellsport Waterworks,WI4200461,1825,GW,10,0,0,0.00112,,1,65,C,43.6042,-88.2729,0,,,,10,0,false,0
53011,Cascade,WI,Cascade Waterworks,WI4600436,719,GW,0,0,0,0.0011,1.53,1,70,B,43.6591,-88.0947,0,,,,0,0,false,0
53012,Cedarburg,WI,Cedarburg L & W Commission,WI2460108,11800,GW,0,0,0,0.0076,,2,72,B,43.3034,-88.0029,0,,,,0,0,false,0
53013,Cedar Grove,WI,Cedar Grove Waterworks,WI4600437,2213,GW,0,0,0,0.0089,,2,73,B,43.5751,-87.8401,0,,,,0,0,false,0
53014,Chilton,WI,Chilton Waterworks,WI4080222,4191,GW,2,1,0,0.013,,2,62,C,44.0242,-88.1827,1,Stage 2 DBP Rule,,,3,1,false,0
